OBJECTID,Prov_Cod,fecha,Muestras,Muestras_Acumulados,ConfirmadosFTM,Confirmados_AcumuladosFTM,Confirmados,Confirmados_Acumulados,Positividad_Dia,POSITIVIDAD_4sem,Positividad_Acum,Recuperados,Recuperados_Acumulados,Tasa_Recup,Muertes,Defunciones_Acumulados,Letalidad_Ac,Activos,Activos_INC_14D,CONFIRM_INC_14,FALLEC_INC_14
46,01,2020/02/15 00:00:00+00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-2,0,0,0
47,01,2020/02/16 00:00:00+00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-2,0,0,0
48,01,2020/02/17 00:00:00+00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-2,0,0,0
49,01,2020/02/18 00:00:00+00,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,-1,0,0,0
50,01,2020/02/19 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,0,0,0
51,01,2020/02/20 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,0,0,0
52,01,2020/02/21 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,0,0,0
53,01,2020/02/22 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,0,0,0
54,01,2020/02/23 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,0,0,0
55,01,2020/02/24 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,0,0,0
56,01,2020/02/25 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,-0.5,0,0
57,01,2020/02/26 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,-0.5,0,0
58,01,2020/02/27 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,-0.5,0,0
59,01,2020/02/28 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,-0.5,0,0
60,01,2020/02/29 00:00:00+00,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,-1,-0.5,0,0
61,01,2020/03/01 00:00:00+00,2,2,0,0,0,1,0,0,0.5,0,2,2,0,0,0,-1,-0.5,0,0
62,01,2020/03/02 00:00:00+00,0,2,0,0,1,2,0,0,1,0,2,1,0,0,0,0,-1,0,0
63,01,2020/03/03 00:00:00+00,0,2,0,0,1,3,0,0,1.5,0,2,0.666666666666667,0,0,0,1,-2,2,0
64,01,2020/03/04 00:00:00+00,2,4,1,1,21,24,10.5,0.25,6,0,2,0.0833333333333333,0,0,0,22,-23,23,0
65,01,2020/03/05 00:00:00+00,2,6,0,1,0,24,0,0.166666666666667,4,0,2,0.0833333333333333,0,0,0,22,-23,23,0
66,01,2020/03/06 00:00:00+00,0,6,0,1,0,24,0,0.166666666666667,4,0,2,0.0833333333333333,0,0,0,22,-23,23,0
67,01,2020/03/07 00:00:00+00,0,6,0,1,1,25,0,0.166666666666667,4.166666666666,0,2,0.08,0,0,0,23,-24,24,0
68,01,2020/03/08 00:00:00+00,3,9,0,1,3,28,1,0.111111111111111,3.111111111111,0,2,0.0714285714285714,0,0,0,26,-27,27,0
69,01,2020/03/09 00:00:00+00,0,9,0,1,3,31,0,0.111111111111111,3.444444444444,0,2,0.0645161290322581,0,0,0,29,-30,30,0
70,01,2020/03/10 00:00:00+00,1,10,0,1,4,35,4,0.1,3.5,0,2,0.0571428571428571,0,0,0,33,-34,34,0
71,01,2020/03/11 00:00:00+00,0,10,0,1,5,40,0,0.1,4,0,2,0.05,0,0,0,38,-39,39,0
72,01,2020/03/12 00:00:00+00,3,13,1,2,4,44,1.333333333333,0.153846153846154,3.384615384615,0,2,0.0454545454545455,0,0,0,42,-43,43,0
73,01,2020/03/13 00:00:00+00,1,14,0,2,8,52,8,0.142857142857143,3.714285714285,0,2,0.0384615384615385,0,0,0,50,-51,51,0
74,01,2020/03/14 00:00:00+00,1,15,1,3,10,62,10,0.2,4.133333333333,0,2,0.032258064516129,0,0,0,60,-61,61,0
75,01,2020/03/15 00:00:00+00,1,16,1,4,11,73,11,0.25,4.5625,0,2,0.0273972602739726,0,0,0,71,-72,72,0
76,01,2020/03/16 00:00:00+00,7,23,4,8,13,86,1.857142857142,0.347826086956522,3.739130434782,0,2,0.0232558139534884,0,0,0,84,0,42,0
77,01,2020/03/17 00:00:00+00,11,34,5,13,13,99,1.181818181818,0.382352941176471,2.911764705882,0,2,0.0202020202020202,0,0,0,97,96,32,0
78,01,2020/03/18 00:00:00+00,10,44,2,15,19,118,1.9,0.340909090909091,2.681818181818,0,2,0.0169491525423729,0,0,0,116,4.272727272727,3.916666666666,0
79,01,2020/03/19 00:00:00+00,23,67,12,27,15,133,0.652173913043,0.402985074626866,1.985074626865,0,2,0.0150375939849624,0,0,0,131,4.954545454545,4.541666666666,0
80,01,2020/03/20 00:00:00+00,42,109,32,59,34,167,0.809523809523,0.541284403669725,1.532110091743,0,2,0.0119760479041916,0,0,0,165,6.5,5.958333333333,0
81,01,2020/03/21 00:00:00+00,3,112,3,62,17,184,5.666666666666,0.553571428571429,1.642857142857,0,2,0.0108695652173913,0,0,0,182,6.91304347826,6.36,0
82,01,2020/03/22 00:00:00+00,103,215,30,92,36,220,0.349514563106,0.427906976744186,1.023255813953,0,2,0.00909090909090909,0,0,0,218,7.384615384615,6.857142857142,0
83,01,2020/03/23 00:00:00+00,61,276,54,146,56,276,0.918032786885,0.528985507246377,1,0,2,0.0072463768115942,1,1,1,273,8.413793103448,7.903225806451,0
84,01,2020/03/24 00:00:00+00,126,402,59,205,59,335,0.468253968253,0.509950248756219,0.833333333333,0,2,0.00597014925373134,2,3,1.2,330,9,8.571428571428,0
85,01,2020/03/25 00:00:00+00,52,454,29,234,30,365,0.576923076923,0.515418502202643,0.803964757709,0,2,0.00547945205479452,0,3,1.243835616438,360,8.473684210526,8.125,0
86,01,2020/03/26 00:00:00+00,260,714,93,327,100,465,0.384615384615,0.457983193277311,0.651260504201,0,2,0.0043010752688172,2,5,1.535483870967,458,9.904761904761,9.568181818181,0
